,PMT Location,Top/Bottom,ADC (crate.slot.channel),0vbb ADC (crate.slot.channel),DM ADC ID,0vbb ADC ID,Amp (crate.slot.channel),Cable number sum signal,Linear Fan,x,y
203,159,top,1.9.6,3.1.6,1284,1311.0,1.2.6,,,6.93765,12.0164
204,158,top,1.8.7,3.0.7,1348,991.0,1.1.15,,,13.8753,8.01091
205,157,top,1.9.7,3.1.7,1284,1311.0,1.2.7,,,20.8129,4.00546
206,156,top,1.10.7,3.2.7,1270,1369.0,1.2.15,,,27.7506,7.244860000000001e-06
207,207,top,0.9.0,2.1.4,1212,1366.0,0.4.8,,,6.93765,36.0491
208,208,top,0.10.0,2.4.2,1233,79.0,0.5.0,,,1.04571e-05,40.0545
209,209,top,0.7.4,1.19.7,1258,1368.0,0.3.12,,,-6.93763,44.06
210,210,top,0.8.4,2.2.1,1237,1324.0,0.4.4,,,-13.8753,48.0654
211,211,top,0.6.5,1.19.6,1242,1368.0,0.3.5,,,-20.8129,52.0709
212,212,top,0.7.5,1.19.2,1258,1368.0,0.3.13,,,-27.7506,56.0763
213,213,top,1.11.2,3.3.2,1329,1353.0,1.3.2,,,62.4388,12.0164
214,214,top,1.12.2,3.4.0,1403,89.0,1.3.8,,,55.5012,16.0218
215,215,top,1.11.3,3.3.3,1329,1353.0,1.3.3,,,48.5635,20.0273
216,216,top,1.12.1,3.4.1,1403,89.0,1.3.9,,,41.6259,24.0327
217,217,top,1.11.5,3.3.4,1329,1353.0,1.3.4,,,34.6882,28.0382
218,218,top,0.10.1,2.4.4,1233,79.0,0.5.1,,,27.7506,32.0436
219,219,top,0.9.1,2.1.2,1212,1366.0,0.4.9,,,20.8129,36.0491
220,220,top,0.11.0,2.3.6,1243,1326.0,0.5.8,,,13.8753,40.0545
221,221,top,0.10.2,2.4.3,1233,79.0,0.5.2,,,6.93766,44.06
222,222,top,0.11.1,2.3.4,1243,1326.0,0.5.9,,,1.2548499999999999e-05,48.0654
223,223,top,0.6.7,1.20.5,1242,162.0,0.3.7,,,-6.93763,52.0709
224,224,top,0.7.6,1.20.7,1258,162.0,0.3.14,,,-13.8753,56.0763
225,225,top,0.8.6,2.1.1,1237,1366.0,0.4.6,,,-20.8129,60.0818
226,226,top,1.12.0,3.4.2,1403,89.0,1.3.10,,,62.4388,20.0273
227,227,top,1.11.4,3.3.5,1329,1353.0,1.3.5,,,55.5012,24.0327
228,228,top,1.12.4,3.4.3,1403,89.0,1.3.11,,,48.5635,28.0382
229,229,top,1.11.6,3.3.6,1329,1353.0,1.3.6,,,41.6259,32.0436
230,230,top,0.11.2,2.4.7,1243,79.0,0.5.10,,,34.6882,36.0491
231,231,top,0.9.2,2.1.3,1212,1366.0,0.4.10,,,27.7506,40.0545
232,232,top,0.10.3,2.4.0,1233,79.0,0.5.3,,,20.8129,44.06
233,233,top,0.11.3,2.3.2,1243,1326.0,0.5.11,,,13.8753,48.0654
234,234,top,0.9.3,2.1.7,1212,1366.0,0.4.11,,,6.93766,52.0709
235,235,top,0.7.7,1.20.3,1258,162.0,0.3.15,,,1.46399e-05,56.0763
236,236,top,0.8.7,2.1.5,1237,1366.0,0.4.7,,,-6.93763,60.0818
237,237,top,0.6.6,1.19.0,1242,1368.0,0.3.6,,,-13.8753,64.0872
238,238,top,1.11.7,3.3.7,1329,1353.0,1.3.7,,,55.5012,32.0436
239,239,top,1.12.3,3.4.4,1403,89.0,1.3.12,,,48.5635,36.0491
240,240,top,0.9.4,2.1.6,1212,1366.0,0.4.12,,,41.6259,40.0545
241,241,top,0.10.4,2.3.0,1233,1326.0,0.5.4,,,34.6882,44.06
242,242,top,0.11.4,2.3.1,1243,1326.0,0.5.12,,,27.7506,48.0654
243,243,top,0.9.5,2.2.5,1212,1324.0,0.4.13,,,20.8129,52.0709
244,244,top,0.10.5,2.3.3,1233,1326.0,0.5.5,,,13.8753,56.0763
245,245,top,0.11.5,2.3.7,1243,1326.0,0.5.13,,,6.93766,60.0818
246,246,top,0.8.5,2.2.3,1237,1324.0,0.4.5,,,1.67313e-05,64.0872
247,247,top,0.10.6,2.4.5,1233,79.0,0.5.6,,,48.5635,44.06
248,248,top,0.11.6,2.4.1,1243,79.0,0.5.14,,,41.6259,48.0654
249,249,top,0.9.6,2.2.7,1212,1324.0,0.4.14,,,34.6882,52.0709
250,250,top,0.10.7,2.3.5,1233,1326.0,0.5.7,,,27.7506,56.0763
251,251,top,0.11.7,2.4.6,1243,79.0,0.5.15,,,20.8129,60.0818
252,252,top,0.9.7,2.2.6,1212,1324.0,0.4.15,,,13.8753,64.0872
253,253,bottom,3.6.2,,136,,2.2.0,0.0,0.0,-20.8129,-60.0818
254,254,bottom,3.5.0,,54,,2.2.8,1.0,,-27.7506,-56.0763
255,255,bottom,3.7.0,,78,,2.3.0,2.0,1.0,-34.6882,-52.0709
256,256,bottom,3.5.1,,54,,2.2.9,3.0,,-41.6259,-48.0654
257,257,bottom,3.7.1,,78,,2.3.1,4.0,1.0,-1.67313e-05,-64.0872
258,258,bottom,3.6.0,,136,,2.2.1,5.0,0.0,-6.93766,-60.0818
259,259,bottom,3.5.3,,54,,2.2.10,6.0,,-13.8753,-56.0763
260,260,bottom,3.7.2,,78,,2.3.2,7.0,1.0,-20.8129,-52.0709
261,261,bottom,3.6.1,,136,,2.2.2,8.0,0.0,-27.7506,-48.0654
262,262,bottom,3.7.3,,78,,2.3.3,9.0,1.0,-34.6882,-44.06
263,263,bottom,3.8.0,,95,,2.3.8,10.0,1.0,-41.6259,-40.0545
264,264,bottom,3.10.0,,144,,2.4.0,11.0,2.0,-48.5635,-36.0491
265,265,bottom,3.9.0,,80,,2.4.8,12.0,2.0,-55.5012,-32.0436
266,266,bottom,3.6.3,,136,,2.2.3,13.0,0.0,6.93763,-60.0818
267,267,bottom,3.5.2,,54,,2.2.11,14.0,,-1.46399e-05,-56.0763
268,268,bottom,3.7.4,,78,,2.3.4,15.0,1.0,-6.93766,-52.0709
269,269,bottom,3.6.4,,136,,2.2.4,16.0,0.0,-13.8753,-48.0654
270,270,bottom,3.5.4,,54,,2.2.12,17.0,,-20.8129,-44.06
271,271,bottom,3.7.5,,78,,2.3.5,18.0,1.0,-27.7506,-40.0545
272,272,bottom,3.10.1,,144,,2.4.1,19.0,2.0,-34.6882,-36.0491
273,273,bottom,3.9.1,,80,,2.4.9,20.0,2.0,-41.6259,-32.0436
274,274,bottom,3.8.1,,95,,2.3.9,21.0,1.0,-48.5635,-28.0382
275,275,bottom,3.10.2,,144,,2.4.2,22.0,2.0,-55.5012,-24.0327
276,276,bottom,4.15.0,,107,,3.3.8,23.0,12.0,20.8129,-60.0818
277,277,bottom,4.17.0,,139,,3.4.0,24.0,8.0,13.8753,-56.0763
278,278,bottom,3.5.5,,54,,2.2.13,25.0,,6.93763,-52.0709
279,279,bottom,3.6.5,,136,,2.2.5,26.0,0.0,-1.2548499999999999e-05,-48.0654
280,280,bottom,3.5.6,,54,,2.2.14,27.0,,-6.93766,-44.06
281,281,bottom,3.7.7,,78,,2.3.6,28.0,1.0,-13.8753,-40.0545
282,282,bottom,3.6.6,,136,,2.2.6,29.0,0.0,-20.8129,-36.0491
283,283,bottom,3.9.2,,80,,2.4.10,30.0,2.0,-27.7506,-32.0436
284,284,bottom,3.8.2,,95,,2.3.10,31.0,1.0,-34.6882,-28.0382
285,285,bottom,3.10.3,,144,,2.4.3,32.0,2.0,-41.6259,-24.0327
286,286,bottom,3.9.3,,80,,2.4.11,33.0,2.0,-48.5635,-20.0273
287,287,bottom,3.8.3,,95,,2.3.11,34.0,1.0,-55.5012,-16.0218
288,288,bottom,3.9.4,,80,,2.4.12,35.0,2.0,-62.4388,-12.0164
289,289,bottom,4.16.1,,121,,3.4.8,36.0,,27.7506,-56.0763
290,290,bottom,4.17.1,,139,,3.4.1,37.0,8.0,20.8129,-52.0709
291,291,bottom,4.15.1,,107,,3.3.9,38.0,12.0,13.8753,-48.0654
292,292,bottom,4.16.0,,121,,3.4.9,39.0,,6.93763,-44.06
293,293,bottom,3.7.6,,78,,2.3.7,40.0,1.0,-1.04571e-05,-40.0545
294,294,bottom,3.6.7,,136,,2.2.7,41.0,0.0,-6.93765,-36.0491
295,295,bottom,3.5.7,,54,,2.2.15,42.0,,-13.8753,-32.0436
296,296,bottom,3.8.5,,95,,2.3.12,43.0,1.0,-20.8129,-28.0382
297,297,bottom,3.10.4,,144,,2.4.4,44.0,2.0,-27.7506,-24.0327
298,298,bottom,3.9.5,,80,,2.4.13,45.0,2.0,-34.6882,-20.0273
299,299,bottom,3.8.4,,95,,2.3.13,46.0,1.0,-41.6259,-16.0218
300,300,bottom,3.10.7,,144,,2.4.5,47.0,2.0,-48.5635,-12.0164
301,301,bottom,3.9.6,,80,,2.4.14,48.0,2.0,-55.5012,-8.01092
302,302,bottom,3.8.6,,95,,2.3.14,49.0,1.0,-62.4388,-4.00547
303,303,bottom,4.17.2,,139,,3.4.2,50.0,8.0,34.6882,-52.0709
304,304,bottom,4.15.3,,107,,3.3.10,51.0,12.0,27.7506,-48.0654
